Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;GORO;3.Domain:GORO;Softgoal;;UFO:Goal   ;Softgoal is an initial and temporary vague expression of a goal not suficiently defined yet. It refers to a vague quality region whose exact boundaries are unknown. Thus it is not  possible to determine a priori the set of situations that satisfies the softgoal. Its satisfiability is usually related to an agent's judgement.;;0
CORE;EO;2.Core:EO;Organization;category;UFO:Social Agent   ;Same as UFO::Organization. A Social Agent involving people and other agents and facilities with an arrangement of responsibilities, authorities and relationships.; A company, an enterprise, a software house.;5
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Scheduled Process;Scheduled Activity;mode;UFO:Appointment   SPO:Intended Activity   ;An Intended Activity defining the time interval it is planned to be performed.; The Requirements Verification and Validation activity scheduled for August 5th to 9th.;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Operational Definition of Measure Establishment;event;SPO:Performed Simple Activity   ;Activity for establishing the Operational Definitions of Measures for the identified Software-Related Measures. ;;2
DOMAIN;CMPO;3.Domain:CMPO;Configuration Management System Establishment;event;SPO:Performed Composite Activity   ;Activity for establishing the configuration management system, usually composed of version control system, a change control system and a product building system.;;1
DOMAIN;SwO;3.Domain:SwO;Program Specification;subkind;SPO:Document   ;A document that describes the purpose (structure and functions) of a program in sufficient detail to permit coding and to facilitate maintenance.;;5
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Document Type;2ndOT;SPO:Artifact Type   ;Artifact Type which is the powertype of Document, classifying its specializations.; Requirements Document, Design Specification, Project Plan.;2
DOMAIN;CPO;3.Domain:CPO;Coding;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for coordinating the Code development and documentation, according to definitions from the Requirements Document and Design Document.;;6
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Artifact;category;RSMO:Measurable Software-Related Entity   UFO:Object   ;Object intentionally made to serve a given purpose in the context of a software Project or Organization.; a document, a model, a library, an e-mail, a bug.;9
CORE;EO;2.Core:EO:Organizational Structure;Organizational Unit Type;2ndOT;;;;4
CORE;COM;2.Core:COM:Measurement Analysis;Analysis Result;;UFO:Social Object   ;Result produced by a Measurement Analysis. An Analysis Result characterizes a Measurable Entity and provides information related to a Measurement Goal.; the analysis of the measured values 26, 25.5 e 24, collected for the measure body mass index in kilos and meters to the measurable entity John could produce the analysis result: The patient’s body mass index decreased from an overweight to a normal weight value and the patient has now a good body mass index. This analysis result characterizes the measurable entity John and provides information to the measurement goal Check if the patient has a good body mass index.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Category;;UFO:Rigid Mixin Universal   ;;;0
DOMAIN;CMPO;3.Domain:CMPO;Configuration Auditing;event;SPO:Performed Composite Activity   ;Activity for verifying that a Baseline or a Deliverable Product is complete, consistent and in conformity with the specified requirements.;;7
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Loaded Adaptation Program Copy;;RRO:Loaded RRT Program Copy   ;Loaded Adaptation Program Copy is the materialization of an Adaptation Program.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Incident Report;subkind;SPO:Information Item   ;Report describing the occurrence, nature, and status of an incident (adapted from ISO/IEC/IEEE 29119-1:2013 Software and systems engineering--Software testing--Part 1: Concepts and definitions, 4.18).;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Substantial Universal;;UFO:Endurant Universal   ;;;0
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Duration Estimated Activity;;SPO:Project Activity   ;A Project Process with duration estimated.;;0
DOMAIN;RRO;3.Domain:RRO:Program Execution;Observable State;;UFO:Situation   ;Observable State is a situation resulting from the execution of a program copy. It involves qualities and quality values (qualia) of the Machine in which the Loaded Program Copy inheres, as well as of entities residing in that Machine (including the Loaded Program Copy itself).;;1
DOMAIN;CMPO;3.Domain:CMPO;Release Management and Delivery;event;SPO:Performed Composite Activity   ;Activity for managing the building, releasing and delivering of the products to be delivered to clients.;;5
CORE;EO;2.Core:EO:Human Resource Management;Formal Organization Employer;role;EO:Formal Organization   ;;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;White-box Testing Technique;subkind;ROoST:Testing Technique   ;Testing Technique in which the tests are derived from an examination of the structure of the code to be tested (adapted from ISO/IEC/IEEE 29119-1:2013 Software and systems engineering--Software testing--Part 1: Concepts and definitions);;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Case Design;event;SPO:Performed Simple Activity   ;Simple Performed Activity for designing the Test Cases to be executed, supported by input artifacts.;;5
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Organizational Standard Process;2ndOT;SPO:Standard Process   ;Standard Process established to be performed in the context of an Organization, regardless of specific Projects.; a standard Portfolio Management Process, a standard Human Resource Hiring Process.;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Goals Establishment;event;SPO:Performed Simple Activity   ;Activity for establishing and recording the Software Measurement Goals to be included in the Software Measurement Plan. ;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Normative Description;;UFO:Social Object   ;;;4
FOUNDATIONAL;UFO;1.Foundational:UFO:MLT;1stOT (Universal);;UFO:Entity   ;;;5
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Moment Universal;;UFO:Endurant Universal   ;;;1
DOMAIN;DPO;3.Domain:DPO;User Interface Specification;subkind;DPO:Interface Specification   ;Interface Specification focusing on the human-computer interaction.;;2
CORE;SPO;2.Core:SPO:Software Process Execution:Resource Participation;Software Resource Participation;event;UFO:Usage   ;The participation of a Software Product as Resource in a Performed Activity.; the use of the MS Project in a Project Scheduling activity.;2
CORE;COM;2.Core:COM:Measure;Base Measure;;COM:Measure   ;Measure used to quantify a Directly Measurable Element.; the base measure height in meters can be used to quantify the directly measurable element height.;2
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Software Item;kind;SPO:Artifact   ;Piece of software, produced during the software process, not considered a complete Software Product, but an intermediary result.; a component, database schema, a script.;0
CORE;EO;2.Core:EO;Project Team;subkind;EO:Team   SPO:Team Stakeholder   ;;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Case Actual Result;subkind;SPO:Information Item   ;The actual result obtained from the execution of a test case.;;2
CORE;COM;2.Core:COM:Measurable Entities;Measurable Element;;UFO:Measurable Quality Universal   ;Measurable property that characterizes a Measurable Entity Type.; height is a measurable element that characterizes measurable entities of the Person type.;7
CORE;SPO;2.Core:SPO:Process Assets:Resources;Hardware Type;2ndOT;UFO:Object Kind   ;Object Kind which is the powertype of Hardware Equipment, classifying its specializations.; Computer, Printer, Router, Keyboard.;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Collective Social Agent;;UFO:Social Agent   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Periodicity;;;;;1
DOMAIN;CMPO;3.Domain:CMPO;Configuration Management Plan;subkind;SPO:Document   ;Document describing the configuration management parameters for conducting the process, including the identified Configuration Items types, the configuration systems and the planned Baselines, Configuration Audits, and Products Deliveries.;;1
DOMAIN;GORO;3.Domain:GORO;Hardgoal;;UFO:Goal   ;Hardgoal is a proposition that is objectively satisfied by a given set of situations.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Scientific Measurement Domain;;UFO:Measurement Quality Domain   ;;;1
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Project Process;mode;SPO:Intended Process   ;Intended Process defined to be performed within a Project.; a project Requirement Process, a project Construction Process.;2
CORE;EO;2.Core:EO:Human Resource Management;OU Member;role;EO:Human Resource   ;;;3
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Specific Standard Process;2ndOT;SPO:Standard Process   ;Standard Process that can be part of a General Standard Process of a Project or Organization, necessarily composed of at least two Standard Activities.; the standard Requirements Development Process established as part of a broader standard Development Process.;3
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Standard Process Definition Document;kind;UFO:Plan Description   ;Plan Description, recognized by an Organization, which describes a set of Standard Processes.; The whole available description of an organization processes.;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;Mutation Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique in which two or more program mutations are executed using the same test cases to evaluate the ability of the test cases to detect differences in the mutations (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Subkind;;UFO:Rigid Sortal Universal   ;;;0
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Responsible;role;SPO:Person Stakeholder   ;Stakeholder responsible for solving a noncompliance.;;1
DOMAIN;SPMO;3.Domain:SPMO;Project Plan;subkind;SPO:Document   ;Document describing the planning of a Project, to be used as the basis for project management.;;1
DOMAIN;CMPO;3.Domain:CMPO;Change Review;event;SPO:Performed Simple Activity   ;Activity for reviewing an accomplished change assuring that the modifications were made as planned.;;6
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Script;subkind;ROoST:Test Code   ;Short program written in a programming language used to test part of the functionality of a software system. Test scripts written as a short program can either be written using a special automated functional GUI test tool or in a well-known programming language (Wikipedia).;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Complex Closed Commitment;;UFO:Closed Commitment   ;;;2
DOMAIN;DPO;3.Domain:DPO;User Interface Design;event;SPO:Performed Simple Activity   ;Activity for specifying the User Interfaces in detail.;;2
CORE;EO;2.Core:EO:Organizational Structure;Complex Organizational Unit;;EO:Organizational Unit   ;;;1
DOMAIN;CMPO;3.Domain:CMPO;Closed CR;phase;CMPO:Change Request (CR)   ;Change Request closed after solved, reviewed and approved.;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Adaptation Program;;RRO:RRT Program   ;An Adaptation Program is a RRT Program that intends to satisfy at least one Change Runtime Requirement Artifact.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Plan;subkind;SPO:Document   ;Document describing how the tests should be performed, providing a roadmap for the testing activities.;;2
DOMAIN;CMPO;3.Domain:CMPO;Configuration Manager;role;SPO:Stakeholder   ;Stakeholder responsible for planning and managing the Configuration Management Process.;;5
DOMAIN;QAPO;3.Domain:QAPO;Evaluation Report;subkind;SPO:Document   ;Document describing the evaluation results and identified issues.;;1
DOMAIN;QAPO;3.Domain:QAPO;Artifact Evaluation;event;SPO:Performed Simple Activity   ;Activity for objectively evaluating the adherence of products and deliverables to the applicable requirements.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Phasemixin;;UFO:Anti-Rigid Mixin Universal   ;;;0
DOMAIN;RSRO;3.Domain:RSRO;Requirements Stakeholder;role;SPO:Stakeholder   ;Stakeholder that provides needs and expectations for the product.; users, operators, customers, suppliers.;8
DOMAIN;SPMO;3.Domain:SPMO:Tracked Process;Tracked Stakeholder Participation;;SPO:Stakeholder Participation   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Goal;;UFO:Proposition   ;;;3
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Estimated Stakeholder Allocation;;SPO:Stakeholder Allocation   ;;;2
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Simple Intended Activity;mode;SPO:Intended Activity   ;Intended Activity that is not further decomposed into other Intended Activities.;;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Planning Item Documentation;event;SPO:Performed Simple Activity   ;Activity for documenting Measurement Planning Items. Each Measurement Planning Item includes a Software Measurement Goal Description, an Information Need Description, a Software-Related Measure and an Operational Definition of Measure. Measurement Planning Items produced during the Software Measurement Analysis are part of the Software Measurement Plan produced in that activity. ;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Self Appointment;;UFO:Intention   UFO:Appointment   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Anti-Rigid Mixin Universal;;UFO:Mixin Universal   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurable Entities;Measurable Software-Related Entity Type;;COM:Measurable Entity Type   ;Type of Measurable Entities related to software.; the Requirements Engineering Standard Process is a measurable software-related entity of the Standard Process type.;2
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Target Execution State;;RRO:Observable State   ;Execution State is the Observable State resulting from the Target Program Copy Execution, which is monitored by some Compliance Program Copy Executions.;;2
CORE;EO;2.Core:EO:Human Resource Management;Business Role;2ndOT;EO:Human Resource Role   ;;;4
DOMAIN;RDPO;3.Domain:RDPO;Requirements Negotiation and Prioritization;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed to solve problems in the requirements and to reach an agreement on the set of requirements to be considered in the Project and their priorities.;;7
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Project Activity;;SPO:Performed Activity   ;;;2
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Adaptation Program Copy Execution;;RRO:RRT Program Copy Execution   ;An Adaptation Program Copy Execution is the execution of a Loaded Adaptation Program Copy. It uses Change Runtime Requirement Artifacts as resources to triggers changes in its Loaded Target Program Copy.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Reference Region;;;;;1
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Standard Activity;2ndOT;SPO:Activity Universal   RSMO:Measurable Software-Related Entity   ;Action Universal representing a generic activity institutionalized as part of a Standard Process in an Organization, establishing general information such as dependence on other activities, types of artifacts created, changed and used, required software and hardware resources, adopted procedures, and roles to perform it.; Conceptual Modeling, Training Evaluation, Project Risks Planning.;12
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Simple Method Activity;2ndOT;SPO:Method Activity   UFO:Atomic Action Universal   ;Method Activity that is not further decomposed into other Method Activities.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Creation;;UFO:Object Participation   ;;;0
CORE;COM;2.Core:COM:Measurement Planning;Measurement Goal;;UFO:Goal   ;Goal that can be used to drive the identification of the Measures needed to provide information in a certain context. Measurement Goals are established based on more general Goals.; in the context of a doctor’s office, a doctor could be the general goal of Taking a good care of the patients. From this general goal, could be established the measurement goal Monitor the patient health, which could be decomposed in others, such as Check if the patient has a good body mass index and Check if the patient has a good blood pressure.;6
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Event Universal;;UFO:1stOT (Universal)   ;;;1
DOMAIN;RDPO;3.Domain:RDPO;Requirements Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for conducting reviews in requirements artifacts.; the person in charge of the Requirements Verification and Validation activity.;1
DOMAIN;RSRO;3.Domain:RSRO;Requirements Engineer;role;SPO:Stakeholder   ;Stakeholder responsible for conducting the requirements development activities.; an organization employee assigned as Requirements Engineer in the requirements development activities.;6
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Action Contribution;;UFO:Action   UFO:Agent Participation   ;;;0
DOMAIN;DPO;3.Domain:DPO;Architectural Design;event;SPO:Performed Composite Activity   ;Activity for making the high-level design choices, defining the Software Architecture and involved elements.;;6
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Activity;event;RSMO:Measurable Software-Related Entity   UFO:Action   ;Action performed, in a specific Time Interval, by a Stakeholder, potentially producing and consuming Artifacts, as part of a Specific Performed Process.; Requirement Elicitation, Component Design, Coding, Integration Test, Training Planning.;19
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Quality Region;;;;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Techniques;Testing Technique;subkind;SPO:Technique   ;Technique for designing test cases. It can be Black-box, White-box, Model-based or Mutation testing techniques, among others.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Reference Structure;;UFO:Reference Structure   ;;;2
DOMAIN;CMPO;3.Domain:CMPO;Deliverable Product;subkind;SPO:Software Product   ;Software Product ready to be delivered to the client.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Person;kind;UFO:Physical Agent   ;Same as UFO::Human Agent A human Physical Agent.; Tim Berners Lee, Dennis Ritchie, Donald Knuth.;0
DOMAIN;CMPO;3.Domain:CMPO;Evaluated CR;phase;CMPO:Change Request (CR)   ;Change Request evaluated and set as authorized or rejected.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Internal Closed Commitment Universal;;UFO:Internal Commitment Universal   UFO:Closed Commitment Universal   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Agent;;UFO:Substantial   ;;;3
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Project Standard Process;2ndOT;SPO:Standard Process   ;A Standard Process established to be performed within a Project.; a standard Requirement Process, a standard Construction Process.;0
CORE;EO;2.Core:EO:Human Resource Management;Human Resource Role;2ndOT;;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:MLT;2ndOT;;UFO:Entity   ;;;8
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Event;;UFO:Concrete Particular   ;;;3
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software-Related Measure;;COM:Measure   ;Measure used to quantify Measurable Elements of Measurable Software-Related Entities.; the software-related measure number of lines of code could be used to quantify the measurable element size of measurable-related entities of the Software type.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Complex Closed Appointment;;UFO:Closed Appointment   UFO:Complex Closed Commitment   ;;;1
DOMAIN;DPO;3.Domain:DPO;Component Interface Design;event;SPO:Performed Simple Activity   ;Activity for refining each Interface Specification of a software.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Level-based Testing;event;SPO:Performed Composite Activity   ;Composite Performed Activity consisting of testing activities and classified by the different levels they can be performed.;;9
DOMAIN;SwO;3.Domain:SwO;Code;subkind;SPO:Software Item   ;Software Item representing a set of computer instructions and data definitions expressed in a programming language or in a form output by an assembler, compiler, or other translator (SEVOCAB).;;5
DOMAIN;ROoST;3.Domain:ROoST:Testing Stakeholders;Test Manager;role;SPO:Stakeholder   ;Stakeholder responsible for planning and managing the testing activities.;;2
CORE;EO;2.Core:EO;Job Plan;kind;UFO:Normative Description   ;;;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measures Identification;event;SPO:Performed Simple Activity   ;Activity for identifying and recording the Software-Related Measures to be included in the Software Measurement Plan. Software-Related Measures are identified from Information Needs in the sense that Measures must meet the identified Information Needs.;;2
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Monitoring Runtime Requirement Artifact;;RRO:Runtime Requirement Artifact   ;Monitoring Runtime Requirement Artifact defines the criteria for verifying if a requirement is being satisfied or not at runtime.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Relation;;UFO:1stOT (Universal)   ;;;0
DOMAIN;CMPO;3.Domain:CMPO;Version;mode;UFO:Moment   ;Each identified release of a Configuration Item submitted to a version control repository.; Project Plan of Project Alfa, version 01, Requirements Document of Project Alfa, version 03.;3
FOUNDATIONAL;UFO;1.Foundational:UFO:MLT;3rdOT;;UFO:Entity   ;;;5
DOMAIN;CMPO;3.Domain:CMPO;Artifact CI;role;CMPO:Configuration Item (CI)   SPO:Artifact   ;Artifact whose configuration is being managed.; Documents, Models, Software Products under Configuration Management.;4
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Measurement Goal;;COM:Measurement Goal   ;Measurement Goal related to software. Software Measurement Goals are based on Business Goals or Software Goals.; the measurement goal Decrease defects in delivered products could be defined based on the software goal Improve software products quality.;3
DOMAIN;CPO;3.Domain:CPO;Code Review Report;subkind;SPO:Document   ;Document pointing out problems identified in the Code during review activities.;;1
DOMAIN;SwO;3.Domain:SwO;Programming Language;kind;UFO:Social Object   ;A language used to express computer programs.;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Suite;subkind;SPO:Document   ;A collection of test cases that are intended to be used to test a software program to show that it has some specified set of behaviours (Wikipedia).;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Commitment;;;;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Stakeholders;Test Case Designer;role;SPO:Stakeholder   ;Stakeholder responsible for designing test cases and analysing test results.;;3
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Selection of Measures for Analysis;event;;Activity for selecting, among the Software-Related Measures related to the selected Software Measurement Goal the ones to be analyzed in the Software Measurement Analysis. ;;1
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Software Product Type;2ndOT;SPO:Artifact Type   ;Artifact Type which is the powertype of Software Product, classifying its specializations.; Modeling Tool, Text Editor, IDE, Compiler.;3
DOMAIN;CMPO;3.Domain:CMPO;Configuration Management Process;event;SPO:Performed Specific Process   ;Process for conducting the activities related to software configuration management, ensuring the completeness and correctness of software Configuration Items.;;5
DOMAIN;CPO;3.Domain:CPO;Code Documentation;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for documenting the software Code with useful information.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Internal Commitment Universal;;UFO:Commitment Universal   ;;;1
DOMAIN;RRO;3.Domain:RRO:Program Execution;Loaded Program Copy;;UFO:Disposition   ;Loaded Program Copy is the materialization of a Program, inhering in a Machine.; a copy of a program loaded in primary memory of my computer.;4
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Business Goal;;UFO:Goal   ;Goal that expresses the intention for which strategic actions are planned and performed.; Increase the client’s satisfaction degree. ;2
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Procedure;category;UFO:Normative Description   ;Normative Description prescribing a defined way for performing process activities.; an OO Method, the Pair Programming technique, a Project Plan Template.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Participation;;UFO:Event   ;;;3
CORE;EO;2.Core:EO:Organizational Structure;Simple Organizational Unit;;EO:Organizational Unit   ;;;1
DOMAIN;RDPO;3.Domain:RDPO;Requirements Agreement;subkind;SPO:Information Item   ;Information Item representing the agreement achieved by the Stakeholders, regarding the Requirements for the product.; the agreement on the requirements than can be contained in an e-mail or in a document section.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Unit;;UFO:Measurement Quality Region   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Quality Universal;;UFO:Intrisic Moment Universal   ;;;1
CORE;EO;2.Core:EO:Organizational Structure;Simple Standalone Formal Organization;;EO:Standalone Formal Organization   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Measure Description;subkind;SPO:Information Item   ;Information Item that documents the description of  a Software-Related Measure.; the record of the software-related measure   delivered defects density.;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Analysis Report;subkind;SPO:Document   ;Document containing the analysis of Test Results and how they succeed.;;2
DOMAIN;RSRO;3.Domain:RSRO;Quality Characteristic;2ndOT;UFO:Quality Universal   ;Quality Universal denoting the types of quality characteristics expected in a software.; reliability, usability, efficiency, maintainability, portability.;1
CORE;COM;2.Core:COM:Measurement Planning;Measurement Planning;;UFO:Event   ;Action that plans the measurement, i.e., determines the Measurement Goals to be monitored, the Information Needs to be considered, the Measures to be collected to meet the Information Needs and the Measurement Procedures to be applied. ;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Situation;;;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Appointment;;UFO:Appointment   UFO:Social Commitment   ;;;0
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;General Intended Process;mode;SPO:Intended Process   ;Intended Process that is composed of Specific Intended Processes, allowing an Organization or Project to define sub-processes that are part of a complete Intended Process.; the overall Development Process defined for the Alpha Project.;2
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Scope Estimated Activity;;SPO:Project Activity   ;A Project Activity with its scope in the project defined in terms of the work packages that it shall produce.;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Delegation;;UFO:Material Relation   ;;;1
DOMAIN;GORO;3.Domain:GORO;Complex Task;;GORO:Task   ;A Complex Task is a Task that is composed in other tasks.;;1
DOMAIN;RSRO;3.Domain:RSRO;Software Function Universal;2ndOT;UFO:Function Universal   ;Function Universal denoting the types of functions expected in a software.; Controlling client orders.;4
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Data Analysis;event;;Activity for analyzing the selected Measured Values and producing the Analysis Result Description that records the Analysis Result.;;2
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Composite Intended Activity;mode;SPO:Intended Activity   ;Intended Activity composed of other Intended Activities.;;2
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Duration Estimated Process;;SPO:Project Process   ;A Project Process with duration estimated.;;0
DOMAIN;GORO;3.Domain:GORO;Requirement;;RSRO:Requirement   ;A Goal in the scope of a specific problem, that describes environmental conditions to be achieved through a desired solution resulting in satisfaction of the underlying strategic goals. In GORE, these goals can be refined by decomposing them into sub-goals, as well as by defining them by means of alternative goals.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Intention;;UFO:Commitment   UFO:Mental Moment   ;;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Quality Region;;UFO:Quality Region   ;;;1
CORE;EO;2.Core:EO;Organizational Role;2ndOT;UFO:Social Role   ;A Social Role, recognized by the Organization, assigned to Agents when they are hired, included in a team, allocated or participating in activities.; System Analyst, Designer, Programmer, Client Organization.;8
CORE;COM;2.Core:COM:Measure;Scale Value;;UFO:Measurement Reference Region   ;Value that compose a Scale.; 0.5, 1, 1.8 are examples of values that compose the scale of the measure height in meters.;1
DOMAIN;DPO;3.Domain:DPO;Designer;role;SPO:Stakeholder   ;Stakeholder responsible for making the Detailed Design choices for a software.;;3
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;General Project Process;;SPO:Project Process   ;;;1
